number,code,entryTime,Out_time,Work_time,block,In_yard_truck
1,in,0,15,15,C,0
2,in,4,21,17,B,1
3,in,8,31,23,C,2
4,in,12,28,16,C,3
5,in,16,35,19,C,3
6,in_out,20,52,32,B,4
7,in,24,42,18,C,4
8,in_out,28,58,30,B,5
9,in_out,32,70,38,C,4
10,out,36,52,16,B,4
11,out,40,52,12,A,5
12,in,44,68,24,A,5
13,out,48,57,9,C,6
14,in,52,80,28,B,7
15,out,56,69,13,B,5
16,in_out,60,88,28,B,4
17,out,64,77,13,C,5
18,in,68,92,24,C,6
19,in,72,98,26,B,4
20,out,76,89,13,B,5
21,in,80,101,21,A,5
22,in,84,111,27,A,5
23,in_out,88,125,37,C,6
24,out,92,107,15,B,5
25,in,96,111,15,B,5
26,in,100,121,21,C,5
27,out,104,115,11,C,5
28,out,108,123,15,C,5
29,in,112,136,24,B,4
30,in,116,129,13,C,4
31,in_out,120,151,31,B,5
32,in,124,143,19,A,4
33,in_out,128,153,25,C,4
34,in_out,132,159,27,C,4
35,out,136,150,14,B,5
36,out,140,152,12,A,5
37,in,144,161,17,A,5
38,out,148,166,18,B,6
39,out,152,170,18,C,5
40,in,156,183,27,B,4
41,out,160,177,17,A,4
42,in_out,164,186,22,A,4
43,in,168,181,13,C,4
44,in,172,199,27,B,4
45,out,176,191,15,C,5
46,in,180,205,25,B,5
47,out,184,197,13,A,4
48,in,188,217,29,C,4
49,in_out,192,223,31,B,4
50,in_out,196,225,29,B,5
51,in_out,200,235,35,C,4
52,in,204,223,19,C,5
53,in,208,237,29,B,5
54,out,212,232,20,A,6
55,in_out,216,249,33,A,7
56,in_out,220,248,28,C,7
57,in_out,224,255,31,C,6
58,in_out,228,261,33,C,6
59,out,232,243,11,B,7
60,in,236,256,20,A,6
61,out,240,255,15,C,6
62,in,244,259,15,B,6
63,in_out,248,272,24,B,7
64,in_out,252,291,39,B,6
65,out,256,275,19,A,5
66,in,260,284,24,B,4
67,in_out,264,301,37,B,4
68,in,268,295,27,B,5
69,in_out,272,306,34,C,6
70,in,276,293,17,B,5
71,in,280,305,25,B,6
72,in_out,284,322,38,B,7
73,out,288,297,9,A,7
74,in,292,313,21,A,7
75,in,296,311,15,C,6
76,out,300,318,18,B,6
77,in,304,326,22,C,6
78,in_out,308,331,23,A,5
79,out,312,326,14,C,5
80,in_out,316,343,27,B,5
81,in_out,320,351,31,B,5
82,in,324,346,22,A,5
83,in,328,348,20,B,4
84,out,332,350,18,C,4
85,in,336,351,15,B,5
86,in,340,359,19,A,6
87,in,344,366,22,B,6
88,in_out,348,372,24,C,6
89,out,352,366,14,B,3
90,in_out,356,384,28,C,4
91,in,360,386,26,B,4
92,in_out,364,386,22,B,5
93,in,368,380,12,C,4
94,in,372,387,15,A,5
95,in,376,400,24,A,5
96,in_out,380,407,27,B,6
97,in,384,397,13,B,6
98,in_out,388,432,44,C,3
99,in_out,392,412,20,B,4
100,in_out,396,422,26,A,5
101,in_out,400,420,20,B,5
102,in,404,419,15,A,5
103,in,408,429,21,A,5
104,in,412,434,22,B,6
105,in,416,435,19,C,6
106,in,420,434,14,C,6
107,out,424,441,17,B,5
108,in,428,454,26,B,6
109,in_out,432,465,33,C,6
110,in_out,436,470,34,C,3
111,out,440,453,13,B,4
112,out,444,453,9,B,4
113,in_out,448,477,29,B,5
114,in,452,474,22,B,6
115,in,456,474,18,A,4
116,in,460,480,20,B,5
117,in_out,464,498,34,A,6
118,in,468,485,17,A,6
119,in_out,472,495,23,A,6
120,in,476,492,16,C,5
121,out,480,490,10,A,5
122,in,484,509,25,C,5
123,out,488,502,14,A,5
124,in,492,513,21,A,5
125,in_out,496,524,28,B,4
126,in_out,500,525,25,B,4
127,in_out,504,535,31,B,4
128,in_out,508,548,40,C,5
129,in,512,538,26,C,5
130,out,516,533,17,A,5
131,in,520,544,24,B,6
132,in_out,524,553,29,B,7
133,in,528,548,20,A,6
134,in,532,552,20,A,7
135,out,536,550,14,C,6
136,in,540,556,16,B,6
137,in,544,564,20,A,7
138,in,548,571,23,A,7
139,in,552,572,20,A,5
140,in,556,570,14,B,4
141,out,560,577,17,A,4
142,out,564,583,19,B,5
143,in_out,568,598,30,C,5
144,in_out,572,600,28,C,4
145,in_out,576,609,33,B,4
146,in_out,580,607,27,B,4
147,in_out,584,605,21,B,4
148,in_out,588,615,27,C,5
149,in_out,592,613,21,A,6
150,out,596,613,17,B,7
151,out,600,616,16,A,7
152,in,604,628,24,B,7
153,in_out,608,633,25,C,6
154,in,612,630,18,B,6
155,out,616,624,8,A,4
156,in,620,647,27,B,4
157,in,624,649,25,C,5
158,out,628,644,16,B,5
159,out,632,642,10,C,4
160,in_out,636,663,27,C,4
161,in,640,668,28,B,5
162,out,644,660,16,A,5
163,in_out,648,683,35,A,4
164,out,652,665,13,C,4
165,in_out,656,682,26,C,5
166,in_out,660,690,30,A,6
167,in,664,681,17,B,5
168,out,668,684,16,B,5
169,in,672,693,21,C,5
170,in,676,691,15,C,6
171,in,680,695,15,A,7
172,in,684,700,16,B,5
173,out,688,702,14,A,5
174,in,692,719,27,A,4
175,out,696,716,20,B,3
176,out,700,713,13,B,4
177,in,704,731,27,A,3
178,in,708,728,20,C,4
179,in_out,712,738,26,B,5
180,out,716,728,12,C,5
181,in_out,720,755,35,C,4
182,out,724,742,18,B,5
183,in,728,756,28,A,6
184,out,732,748,16,B,4
185,out,736,748,12,C,5
186,out,740,750,10,C,5
187,in,744,759,15,A,5
188,in,748,770,22,A,6
189,in_out,752,788,36,A,4
190,out,756,774,18,C,4
191,out,760,778,18,B,3
192,out,764,780,16,A,4
193,out,768,778,10,B,5
194,in_out,772,805,33,A,5
195,out,776,783,7,B,5
196,in_out,780,819,39,A,4
197,out,784,800,16,C,3
198,in,788,801,13,A,4
199,in,792,804,12,A,4
200,in,796,815,19,B,5
201,in,800,821,21,C,6
202,out,804,817,13,B,5
203,in_out,808,837,29,B,4
204,out,812,822,10,C,5
205,in,816,843,27,B,5
206,in,820,835,15,B,4
207,out,824,839,15,A,3
208,in,828,843,15,C,4
209,in_out,832,857,25,C,5
210,in,836,861,25,B,5
211,out,840,857,17,A,4
212,in_out,844,869,25,C,3
213,out,848,863,15,C,4
214,in,852,879,27,B,5
215,in_out,856,890,34,C,6
216,out,860,876,16,C,5
217,in_out,864,895,31,C,4
218,in_out,868,901,33,C,5
219,out,872,882,10,C,5
220,in,876,896,20,A,6
221,in_out,880,912,32,B,5
222,in_out,884,915,31,C,5
223,out,888,906,18,B,6
224,in,892,914,22,C,6
225,in_out,896,917,21,A,6
226,in,900,927,27,A,6
227,out,904,916,12,B,6
228,in_out,908,933,25,C,6
229,in,912,936,24,A,7
230,in,916,936,20,B,5
231,in,920,938,18,B,4
232,in,924,950,26,B,5
233,out,928,946,18,B,5
234,in_out,932,972,40,C,6
235,out,936,952,16,B,6
236,out,940,954,14,A,4
237,in,944,971,27,C,5
238,out,948,960,12,A,5
239,in,952,971,19,C,5
240,out,956,970,14,C,4
241,in,960,977,17,B,5
242,out,964,976,12,C,5
