Truck,Operation,entry_Time,arrive_unload_spot,start_unload_work,complete_unload_work,arrive_load_spot,start_load_work,complete_load_work,exit_Time,waiting_Time,op,unload_spot_truck_count,load_spot_truck_count,unload_block,load_block
9,in,15,20,20,31,0,0,0,33,18,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94954B0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
4,in,8,13,13,36,0,0,0,40,32,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94955A0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
6,in,12,17,22,45,0,0,0,49,37,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF88723E0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
11,in,21,26,41,53,0,0,0,58,37,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF88723B0>,<simpy.resources.resource.Resource object at 0x0000019BF94961A0>
5,in,11,16,36,60,0,0,0,62,51,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94955A0>,<simpy.resources.resource.Resource object at 0x0000019BF94963E0>
14,in,29,34,53,68,0,0,0,70,41,in,1,0,<simpy.resources.resource.Resource object at 0x0000019BF88723B0>,<simpy.resources.resource.Resource object at 0x0000019BF94961A0>
25,in,50,55,55,74,0,0,0,79,29,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94962C0>,<simpy.resources.resource.Resource object at 0x0000019BF94962F0>
15,in,31,36,68,86,0,0,0,90,59,in,2,0,<simpy.resources.resource.Resource object at 0x0000019BF88723B0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
23,in,46,51,86,96,0,0,0,99,53,in,1,0,<simpy.resources.resource.Resource object at 0x0000019BF88723E0>,<simpy.resources.resource.Resource object at 0x0000019BF94963E0>
36,in,73,78,85,96,0,0,0,101,28,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94955A0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
28,in,58,63,74,98,0,0,0,103,45,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94962C0>,<simpy.resources.resource.Resource object at 0x0000019BF9496380>
16,in,33,38,86,109,0,0,0,111,78,in,3,0,<simpy.resources.resource.Resource object at 0x0000019BF88723B0>,<simpy.resources.resource.Resource object at 0x0000019BF9496350>
37,in,74,79,96,108,0,0,0,112,38,in,1,0,<simpy.resources.resource.Resource object at 0x0000019BF94955A0>,<simpy.resources.resource.Resource object at 0x0000019BF94961A0>
38,in,77,82,98,114,0,0,0,118,41,in,0,0,<simpy.resources.resource.Resource object at 0x0000019BF94954B0>,<simpy.resources.resource.Resource object at 0x0000019BF9496380>
